J,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
8.664556962025313780e+00,1.380954053085770017e-01,8.390548960302002257e-05,1.274882425938983488e-05,4.625963526572185458e-06
8.916455696202529424e+00,1.453069145478697033e-01,8.940253714606605229e-05,1.359321587024453493e-05,4.924031584252475113e-06
9.168354430379745068e+00,1.526248652617485657e-01,9.512177779669173106e-05,1.447278042265853770e-05,5.233624677081216703e-06
9.420253164556960712e+00,1.600421434739871529e-01,1.010688988319907722e-04,1.538846639947966111e-05,5.555015329838930427e-06
9.672151898734174580e+00,1.675516131572347689e-01,1.072497159164687019e-04,1.634126536997904111e-05,5.888502110584781235e-06
9.924050632911390224e+00,1.751461279444468389e-01,1.136702875064177221e-04,1.733223117361681886e-05,6.234330079069039243e-06
1.017594936708860587e+01,1.828185425100474770e-01,1.203368157949302741e-04,1.836241799291205012e-05,6.592828627249858187e-06
1.042784810126581974e+01,1.905617240329749995e-01,1.272556839270189144e-04,1.943292447204036932e-05,6.964287018740300539e-06
1.067974683544303538e+01,1.983685634078000692e-01,1.344335506580085493e-04,2.054487469504984176e-05,7.349022423830398054e-06
1.093164556962025102e+01,2.062319865267076002e-01,1.418771008410146806e-04,2.169946350671914104e-05,7.747358031218176677e-06
1.118354430379746667e+01,2.141449651890827699e-01,1.495934318327396539e-04,2.289786457809750431e-05,8.159613959834999264e-06
1.143544303797468231e+01,2.221005279002821187e-01,1.575896603729365353e-04,2.414132823713721621e-05,8.586144261024664104e-06
1.168734177215189618e+01,2.300917705019077664e-01,1.658731883006359098e-04,2.543114400843649037e-05,9.027305261311013851e-06
1.193924050632911182e+01,2.381118664632958515e-01,1.744516031692011637e-04,2.676860985462159448e-05,9.483452173775219762e-06
1.219113924050632569e+01,2.461540770115530075e-01,1.833326941931279208e-04,2.815507870612687924e-05,9.954959931612883395e-06
1.244303797468354134e+01,2.542117610618042089e-01,1.925244783225199541e-04,2.959193473373034067e-05,1.044222813040285303e-05
1.269493670886075698e+01,2.622783843047435948e-01,2.020351319211854957e-04,3.108060523759892391e-05,1.094564311476808882e-05
1.294683544303797440e+01,2.703475288873926630e-01,2.118731112628058355e-04,3.262255635871902371e-05,1.146560213771685710e-05
1.319873417721518827e+01,2.784129019043015685e-01,2.220470518226047574e-04,3.421928573887900171e-05,1.200253397581896309e-05
1.345063291139240214e+01,2.864683439492636818e-01,2.325658128086161014e-04,3.587234913404735437e-05,1.255687478263212142e-05
1.370253164556961778e+01,2.945078371783492743e-01,2.434384727436622597e-04,3.758331694181382687e-05,1.312905244144069172e-05
1.395443037974683165e+01,3.025255130002316717e-01,2.546743477578328196e-04,3.935383195796671174e-05,1.371954539775011028e-05
1.420632911392404552e+01,3.105156591463914539e-01,2.662829651161047195e-04,4.118555055254713437e-05,1.432879744578396952e-05
1.445822784810126294e+01,3.184727266531944823e-01,2.782741014432099647e-04,4.308018474452612878e-05,1.495730121481297914e-05
1.471012658227847858e+01,3.263913360760554161e-01,2.906577533323684293e-04,4.503950157630498552e-05,1.560553639057271624e-05
1.496202531645569245e+01,3.342662833561153013e-01,3.034441663652964749e-04,4.706528134335030700e-05,1.627400703407833049e-05
1.521392405063290632e+01,3.420925452322438609e-01,3.166438100119517429e-04,4.915938510163808672e-05,1.696325278666144243e-05
1.546582278481012374e+01,3.498652840857262580e-01,3.302674091821833358e-04,5.132368912474927214e-05,1.767377931138902625e-05
1.571772151898734116e+01,3.575798523217650349e-01,3.443259333468784433e-04,5.356013864654673995e-05,1.840612680759079467e-05
1.596962025316455680e+01,3.652317962121397477e-01,3.588306329807000594e-04,5.587072270363258042e-05,1.916087947262390401e-05
1.622151898734177067e+01,3.728168592674309112e-01,3.737929256188987637e-04,5.825742952703105715e-05,1.993858964122185995e-05
1.647341772151898454e+01,3.803309849736991044e-01,3.892245585384035422e-04,6.072240744237067389e-05,2.073986775386060799e-05
1.672531645569620196e+01,3.877703191316967946e-01,4.051375237098531201e-04,6.326770452402818989e-05,2.156529024477382706e-05
1.697721518987341582e+01,3.951312115513744283e-01,4.215440902907152676e-04,6.589556520564254782e-05,2.241546265113747438e-05
1.722911392405062969e+01,4.024102172857242365e-01,4.384567694817320671e-04,6.860818025078430082e-05,2.329103581466540618e-05
