J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
6.649367088607592180e+00,7.923017219447325843e-02,1.639004768960727887e-06,2.831528709279496070e-07,9.933928979410922011e-08
6.901265822784809600e+00,9.045977558503115468e-02,1.940429588953573870e-06,3.326282486670883998e-07,1.167756037423473003e-07
7.153164556962023468e+00,1.026501969724918917e-01,2.290595139953222059e-06,3.891317912896319342e-07,1.366354415166526337e-07
7.405063291139240000e+00,1.158131812333237365e-01,2.697159893205736125e-06,4.535363855029395097e-07,1.591980514081825504e-07
7.656962025316453868e+00,1.299537572538601582e-01,3.168964168576149376e-06,5.268231027533154531e-07,1.847599085946782793e-07
7.908860759493668624e+00,1.450699108540516313e-01,3.716277337639795064e-06,6.100944900944149651e-07,2.136466574764739335e-07
8.160759493670884268e+00,1.611523286756276763e-01,4.350894656057757715e-06,7.045910161984636488e-07,2.462355225274492909e-07
8.412658227848099912e+00,1.781842195833535092e-01,5.086394981645980806e-06,8.117054026146597323e-07,2.829261050996123572e-07
8.664556962025313780e+00,1.961412187618083447e-01,5.938333468014089789e-06,9.329421080117583642e-07,3.241535645459592274e-07
8.916455696202529424e+00,2.149913786774076963e-01,6.924437338018396559e-06,1.070155958127205764e-06,3.704025599571281191e-07
9.168354430379745068e+00,2.346952500935433061e-01,8.064946736774381009e-06,1.225287255712803614e-06,4.222073798354486485e-07
9.420253164556960712e+00,2.552060548304188048e-01,9.382852178607681282e-06,1.400515097171872725e-06,4.801581718338887583e-07
9.672151898734174580e+00,2.764699506165018139e-01,1.090414523169380701e-05,1.598296528682041640e-06,5.449111020183750043e-07
9.924050632911390224e+00,2.984263870253455186e-01,1.265815038076212318e-05,1.821373783739144159e-06,6.171593834869426587e-07
1.017594936708860587e+01,3.210085498927324199e-01,1.467796105858454325e-05,2.072794539176303630e-06,6.976330909624905985e-07
1.042784810126581974e+01,3.441438902038540526e-01,1.700056076825440243e-05,2.355954239696700370e-06,7.872067026015727720e-07
1.067974683544303538e+01,3.677547318907391505e-01,1.966742915454622320e-05,2.674617525066924628e-06,8.868014550467151480e-07
1.093164556962025102e+01,3.917589517659444409e-01,2.272489137583599828e-05,3.032959375759425313e-06,9.974247309196826450e-07
1.118354430379746667e+01,4.160707232654868859e-01,2.622435683136137285e-05,3.435600790580028985e-06,1.120175547320023668e-06
1.143544303797468231e+01,4.406013146262626190e-01,3.022301958804929356e-05,3.887637006871891288e-06,1.256252169068439173e-06
1.168734177215189618e+01,4.652599308783760268e-01,3.478412075524905944e-05,4.394693608356092795e-06,1.406959664551621358e-06
1.193924050632911182e+01,4.899545890761694000e-01,3.997752782664010240e-05,4.962939711361524786e-06,1.573717636094151828e-06
1.219113924050632569e+01,5.145930126598409204e-01,4.588018150264439043e-05,5.599211491014166597e-06,1.758070424850988189e-06
1.244303797468354134e+01,5.390835350808098614e-01,5.257666793323512167e-05,6.310944249965366737e-06,1.961693278818010810e-06
1.269493670886075698e+01,5.633359974271832105e-01,6.015972225731358591e-05,7.106300338566295949e-06,2.186423958328020944e-06
1.294683544303797440e+01,5.872626290269511440e-01,6.873082883790404551e-05,7.994216452145153085e-06,2.434190869093910692e-06
1.319873417721518827e+01,6.107788964686446942e-01,7.840076857523747833e-05,8.984407081524814487e-06,2.707146364411272543e-06
1.345063291139240214e+01,6.338043099993331264e-01,8.929024153364606420e-05,1.008752514830568714e-05,3.007592609960418883e-06
1.370253164556961778e+01,6.562631750329047664e-01,1.015305027736723709e-04,1.131509332602531614e-05,3.338019441412320987e-06
1.395443037974683165e+01,6.780852780036012994e-01,1.152639676801348045e-04,1.267966787699137399e-05,3.701109517528777815e-06
1.420632911392404552e+01,6.992064967025763966e-01,1.306449061426184777e-04,1.419484395970282975e-05,4.099757373532408877e-06
1.445822784810126294e+01,7.195693265906433211e-01,1.478400759501452555e-04,1.587535182756560914e-05,4.537075811272828219e-06
1.471012658227847858e+01,7.391233158266472536e-01,1.670294584797393789e-04,1.773712779612468537e-05,5.016413593683655137e-06
1.496202531645569245e+01,7.578254034851302778e-01,1.884069096562135393e-04,1.979737722973551328e-05,5.541368984118832941e-06
