J,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
8.916455696202529424e+00,3.018535086758483699e-01,8.639739132448864822e-04,1.663233597407609565e-04,4.975510023863538578e-05
9.168354430379745068e+00,3.146845911966100751e-01,9.323355761157170463e-04,1.795589022280941194e-04,5.372389387181542020e-05
9.420253164556960712e+00,3.275068070422039179e-01,1.004772730077485576e-03,1.935951137893576757e-04,5.793428407119272094e-05
9.672151898734174580e+00,3.403074747931036370e-01,1.081470721690513948e-03,2.084698169152465752e-04,6.239783653227970461e-05
9.924050632911390224e+00,3.530749746030130698e-01,1.162620830035931974e-03,2.242221470923899673e-04,6.712656949092732361e-05
1.017594936708860587e+01,3.657987345640896226e-01,1.248420075880218860e-03,2.408925630449365585e-04,7.213292793184500340e-05
1.042784810126581974e+01,3.784692100477187182e-01,1.339071443257178196e-03,2.585229068312600020e-04,7.742977185365429449e-05
1.067974683544303538e+01,3.910778554673255414e-01,1.434783842350517702e-03,2.771564000183524001e-04,8.303041318824533334e-05
1.093164556962025102e+01,4.036170916872813264e-01,1.535772177988281584e-03,2.968376597228816749e-04,8.894865605824087140e-05
1.118354430379746667e+01,4.160802620347943126e-01,1.642257365454646845e-03,3.176127416193441633e-04,9.519869796115187910e-05
1.143544303797468231e+01,4.284615935675338827e-01,1.754466401511556306e-03,3.395291719665571861e-04,1.017952594326576587e-04
1.168734177215189618e+01,4.407561387245054751e-01,1.872632376597627157e-03,3.626359258042111122e-04,1.087535491928193210e-04
1.193924050632911182e+01,4.529597275072752005e-01,1.996994517712291639e-03,3.869835140363209192e-04,1.160892107001654239e-04
1.219113924050632569e+01,4.650689057616755884e-01,2.127798205672548626e-03,4.126241419400988875e-04,1.238184436015421497e-04
1.244303797468354134e+01,4.770808741711181078e-01,2.265295056738336754e-03,4.396110243102269166e-04,1.319579355791855590e-04
1.269493670886075698e+01,4.889934240581426117e-01,2.409742882791943153e-03,4.679995014066351544e-04,1.405249016803722384e-04
1.294683544303797440e+01,5.008048744611270919e-01,2.561405747533274102e-03,4.978463364944119007e-04,1.495370830386644201e-04
1.319873417721518827e+01,5.125140007306672185e-01,2.720553991115814974e-03,5.292099262081961797e-04,1.590127699631072034e-04
1.345063291139240214e+01,5.241199692990009540e-01,2.887464238847448073e-03,5.621503289461315944e-04,1.689708003329570829e-04
1.370253164556961778e+01,5.356222692411038988e-01,3.062419345946865157e-03,5.967292742583563125e-04,1.794305237301507816e-04
1.395443037974683165e+01,5.470206419817325028e-01,3.245708742036557126e-03,6.330102096142598000e-04,1.904119461472175701e-04
1.420632911392404552e+01,5.583150137640062738e-01,3.437627774668494673e-03,6.710583139596382196e-04,2.019355780276121948e-04
1.445822784810126294e+01,5.695054415729396968e-01,3.638478374567988283e-03,7.109405382380584726e-04,2.140226484073082247e-04
1.471012658227847858e+01,5.805920280009910783e-01,3.848568714202138530e-03,7.527256078605493173e-04,2.266948696344472935e-04
1.496202531645569245e+01,5.915748806835825491e-01,4.068213262376718653e-03,7.964840734647760101e-04,2.399746347968578775e-04
1.521392405063290632e+01,6.024540407814911180e-01,4.297732781066820884e-03,8.422883237008127466e-04,2.538848701840734634e-04
1.546582278481012374e+01,6.132294332841217166e-01,4.537454294646026121e-03,8.902126202705584745e-04,2.684493075992833155e-04
1.571772151898734116e+01,6.239008119124078711e-01,4.787711072402833778e-03,9.403331170664275263e-04,2.836922093548688295e-04
1.596962025316455680e+01,6.344677189596772404e-01,5.048842602712211303e-03,9.927278890179414006e-04,2.996385194339312719e-04
1.622151898734177067e+01,6.449294351228360700e-01,5.321194518611460644e-03,1.047476966728244641e-03,3.163139019867200474e-04
1.647341772151898454e+01,6.552849465897248038e-01,5.605118663005503876e-03,1.104662336130490807e-03,3.337446452091885618e-04
1.672531645569620196e+01,6.655329105791991662e-01,5.900972827326267378e-03,1.164368022315898088e-03,3.519578233408537926e-04
1.697721518987341582e+01,6.756716310560690886e-01,6.209120874897666731e-03,1.226680032965665745e-03,3.709811239800409055e-04
