gamma,2nd_X1_error_N_4,2nd_X1_error_N_6,2nd_X1_error_N_8
3.580986219567645,0.08411167390624841,0.005985880606305772,0.07617945893308148
3.596901713876835,0.0845031204662031,0.005460294754264877,0.07511320922521751
3.6128172081860246,0.08487023978703166,0.005170095884165191,0.07404808649902168
3.628732702495214,0.0852130204380976,0.0051562830645013515,0.07298413995989232
3.6446481968044036,0.08553145878962348,0.0054167687710209265,0.07192141859561185
3.660563691113593,0.08582555908744363,0.00590704021039012,0.0708599711320092
3.6764791854227825,0.08609533324385274,0.006566839224184616,0.06979984609246041
3.692394679731972,0.08634080106307672,0.007343100838008581,0.06874109176868375
3.7083101740411615,0.08656198978532696,0.008197076442898295,0.06768375612822033
3.724225668350351,0.08675893443526525,0.009102552506055283,0.06662788702346273
3.7401411626595404,0.08693167757084426,0.010042154783505574,0.06557353209629474
3.75605665696873,0.0870802692942916,0.011004295169566634,0.0645207386164456
3.77197215127792,0.08720476723632536,0.011981104407593157,0.0634695537459995
3.787887645587109,0.08730523631726358,0.01296711795869431,0.06242002438196293
3.803803139896299,0.08738174893240622,0.013958452134069413,0.061372197229480015
3.819718634205488,0.0874343847477948,0.014952284076903993,0.060326118709925394
3.8356341285146778,0.08746323073695085,0.015946518150093632,0.059281835123134785
3.851549622823868,0.08746838094775575,0.016939567947254434,0.058239392501793254
3.8674651171330567,0.08744993662287544,0.01793021063269046,0.057198836695059915
3.883380611442247,0.08740800604816776,0.018917487903672002,0.056160213421772034
3.8992961057514357,0.0873427044438045,0.019900637183076792,0.055123567960100345
3.915211600060626,0.08725415402194896,0.020879043077152843,0.054088945792851964
3.9311270943698156,0.08714248369660606,0.021852202435300578,0.0530563919685013
3.947042588679005,0.08700782925099494,0.022819698888928187,0.05202595143013005
3.9629580829881945,0.08685033310912374,0.023781184004169426,0.05099766901525006
3.9788735772973833,0.08667014425983292,0.024736363152132346,0.04997158938306742
3.9947890716065735,0.08646741821113704,0.025730156314452343,0.048947757112093475
4.010704565915763,0.08624231691219349,0.026758128184472724,0.04792621664263458
4.0266200602249524,0.0859950086139629,0.027781487269824347,0.04690701238220512
4.042535554534142,0.08572566783755715,0.02879999978360472,0.045890188631839766
4.058451048843331,0.0854344752436185,0.02981345104083052,0.044875789692985855
4.074366543152521,0.08512161754667942,0.03082164240331309,0.043863859855528674
4.09028203746171,0.0847872874417099,0.03182438870231454,0.042854443421523766
4.1061975317709,0.08443168345983573,0.03282151624177803,0.04184758480178661
4.12211302608009,0.08405500993072348,0.03381286123581908,0.040843328461076564
4.138028520389279,0.08365747682454508,0.034798268148375056,0.03984171907059895
4.153944014698468,0.08323929969227706,0.03577758892911957,0.03884280149063208
4.169859509007658,0.082800699538932,0.03675068188612206,0.03784662086991562
4.185775003316848,0.08234190271765296,0.03771741105356208,0.03685322269907183
4.201690497626037,0.08186314085477367,0.0386776450887713,0.03586265287923618
4.217605991935226,0.08136465071788718,0.03963125767955436,0.03487495800276168
4.233521486244416,0.0808466741090765,0.04057812614457911,0.033890185061251694
4.2494369805536065,0.08030945775101418,0.041518131483761246,0.03290838203490751
4.265352474862795,0.07975325321279249,0.042451158000887355,0.03192959775999483
4.281267969171985,0.07917831674688766,0.043377093026648966,0.030953882213434796
4.297183463481174,0.07858490924247606,0.044295826656395226,0.029981286747660978
4.313098957790364,0.07797329609031557,0.04520725153894011,0.02901186430198651
4.329014452099554,0.07734374695669864,0.046111262747095864,0.028045669737707137
4.344929946408743,0.07669653595625818,0.04700775761243559,0.027082760206770043
4.360845440717933,0.07603194125787033,0.0478966355685774,0.026123195603460433
4.3767609350271215,0.07535024510063722,0.048777798070817543,0.025167039089166728
4.392676429336312,0.0746517336918755,0.049651148486733576,0.02421435777869405
4.408591923645502,0.07393669707222447,0.05051659202770862,0.023265223615084298
4.424507417954691,0.07320542902097624,0.051374035655420355,0.02234253177921224
4.44042291226388,0.0724582269423112,0.05222338808883429,0.021454949354233598
4.45633840657307,0.0716953917740738,0.05306455960869347,0.020568570663820788
4.47225390088226,0.07091722787481795,0.05389746224379286,0.019683513571718218
4.488169395191449,0.0701240429342942,0.0547220092620772,0.018799909418282378
4.504084889500638,0.0693161478681129,0.05553811594880398,0.01791790639255694
4.520000383809828,0.06849385674674255,0.056345698788700486,0.017037673808234764
4.535915878119018,0.06765748665617366,0.057144675782957476,0.016159407794260852
4.551831372428207,0.06680735767195635,0.05793496643449851,0.015283339041784692
4.567746866737397,0.0659437927326373,0.058716491687407495,0.014409743056543326
4.583662361046586,0.06506711758650188,0.05948917390190591,0.0135389547328792
4.599577855355776,0.06417766070806016,0.060252936870196394,0.012671388534351293
4.615493349664965,0.0632757532349017,0.06100770578887152,0.011807567552617368
4.631408843974155,0.06236172891333137,0.06175340726163613,0.010948166168396571
4.647324338283345,0.06143592403928209,0.062489969271164916,0.010094074077232614
4.6632398325925335,0.06049867743211498,0.0632173212174121,0.009246494974240516
4.679155326901723,0.059550330380679764,0.0639353938611195,0.008407103220899183
4.695070821210913,0.05859122664060786,0.06464411939775085,0.007578301240386212
4.710986315520103,0.05762171243288286,0.06534343126778243,0.006763657162043956
4.726901809829292,0.05664213638657395,0.06603326450207402,0.005968677432007071
4.742817304138481,0.05565284967737459,0.06671355537365257,0.005202220970605313
4.758732798447671,0.0546542059578273,0.06738424157854223,0.0044791504786396985
4.7746482927568605,0.05364656147628338,0.06804526221684445,0.003825233186123992
4.79056378706605,0.052630275140914846,0.06869655769740869,0.0032850380866957683
4.80647928137524,0.051605708643021234,0.06933806994065436,0.0029281496225669434
4.822394775684429,0.05057322659213134,0.06996974218854321,0.0028312566356182667
4.8383102699936185,0.04953319669400193,0.0705915190972847,0.003019307151604705
