J,idle_infid_CD,idle_infid_DD
9.420253164556960712e+00,2.808272974014867085e-01,4.405316575001094748e-03
9.672151898734174580e+00,3.035608766009217918e-01,4.765171930686040724e-03
9.924050632911390224e+00,3.269408507342138615e-01,5.149745619120293938e-03
1.017594936708860587e+01,3.508867086277107639e-01,5.560557817086642096e-03
1.042784810126581974e+01,3.753123555599449102e-01,5.999263641332075458e-03
1.067974683544303538e+01,4.001269208085643792e-01,6.467553176563667350e-03
1.093164556962025102e+01,4.252356386807972788e-01,6.967223355408780350e-03
1.118354430379746667e+01,4.505407907467168238e-01,7.500151952792522003e-03
1.143544303797468231e+01,4.759426961166024483e-01,8.068332004854905648e-03
1.168734177215189618e+01,5.013407352743775025e-01,8.673767508531327053e-03
1.193924050632911182e+01,5.266343931075998519e-01,9.318703540362238691e-03
1.219113924050632569e+01,5.517243034743639640e-01,1.000534308727063504e-02
1.244303797468354134e+01,5.765132820969915972e-01,1.073607684811728191e-02
1.269493670886075698e+01,6.009073295402661552e-01,1.151330750671475389e-02
1.294683544303797440e+01,6.248165906517333390e-01,1.233969670381440675e-02
1.319873417721518827e+01,6.481562539619991625e-01,1.321779717056636994e-02
1.345063291139240214e+01,6.708473783949794322e-01,1.415043319377196074e-02
1.370253164556961778e+01,6.928176341572251928e-01,1.514043729230063473e-02
1.395443037974683165e+01,7.140019467586606883e-01,1.619079677736756651e-02
1.420632911392404552e+01,7.343430346953101484e-01,1.730460815542456121e-02
1.445822784810126294e+01,7.537918333140338767e-01,1.848501145776559884e-02
1.471012658227847858e+01,7.723077992999292096e-01,1.973534441255297978e-02
1.496202531645569245e+01,7.898590925394507467e-01,2.105894520988227381e-02
1.521392405063290632e+01,8.064226341937534848e-01,2.245930015333486018e-02
1.546582278481012374e+01,8.219840421417660137e-01,2.393997652745061266e-02
1.571772151898734116e+01,8.365374470841729915e-01,2.550465384302003091e-02
1.596962025316455680e+01,8.500851948182706064e-01,2.715707751685392246e-02
1.622151898734177067e+01,8.626374421077215304e-01,2.890111377254511726e-02
1.647341772151898454e+01,8.742116554998159428e-01,3.074068033431509583e-02
1.672531645569620196e+01,8.848320238645137614e-01,3.267976191170463007e-02
1.697721518987341582e+01,8.945287974720522728e-01,3.472245830690079416e-02
1.722911392405062969e+01,9.033375662590638067e-01,3.687287552105045219e-02
1.748101265822784356e+01,9.112984923899495326e-01,3.913524262520873265e-02
