J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
1.773291139240506098e+01,1.816642977969069594e-01,4.826125458268215596e-06,7.968071795150244441e-07,2.808372027707228824e-07
1.798481012658227840e+01,1.901608583009822828e-01,5.179429031887394785e-06,8.500346279638471003e-07,2.993733086986694047e-07
1.823670886075949227e+01,1.988542414625211752e-01,5.556931738148751521e-06,9.063492718008880900e-07,3.189245711965327246e-07
1.848860759493670614e+01,2.077396382315043200e-01,5.960258412485153201e-06,9.659239094128579950e-07,3.395485239643392106e-07
1.874050632911392356e+01,2.168117943417692262e-01,6.391132799876686477e-06,1.028922538892640404e-06,3.612863865298798771e-07
1.899240506329113742e+01,2.260650145354092810e-01,6.851388575757066945e-06,1.095528386063637782e-06,3.841981042751463349e-07
1.924430379746835129e+01,2.354931679989031856e-01,7.342973471768932114e-06,1.165940340108750917e-06,4.083328267179275883e-07
1.949620253164556871e+01,2.450896954388770421e-01,7.867955303109130938e-06,1.240358652454531807e-06,4.337467475190592836e-07
1.974810126582278258e+01,2.548476169997637708e-01,8.428526275028325188e-06,1.319006036004655158e-06,4.605055536899271829e-07
2.000000000000000000e+01,2.647595421579559405e-01,9.027013336160294443e-06,1.402103442516011711e-06,4.886645617596663271e-07
