gamma,2nd_idle_error_N_4,2nd_idle_error_N_6,2nd_idle_error_N_8
0.5888732894400128,0.02597730986492095,0.028997266283671722,0.030054936027049246
0.6047887837492023,0.025700103801408598,0.028868826815422206,0.029981657843603068
0.6207042780583919,0.025417666588832055,0.0287373946979094,0.029906563291027182
0.6366197723675814,0.02513015592943724,0.02860300288131074,0.02982966253932105
0.652535266676771,0.02483773266874129,0.028465685092776537,0.029750966731027177
0.6684507609859605,0.024540559421438252,0.028325475760662452,0.029670487743028558
0.6843662552951499,0.02423880105117934,0.028182410486930376,0.029588234505912702
0.7002817496043395,0.02393262577621228,0.028036524352214577,0.02950422121773198
0.716197243913529,0.023622202160924196,0.027887854661075753,0.029418458976354762
0.7321127382227186,0.02330770196604192,0.027736437236089984,0.029330959894748702
0.7480282325319081,0.02298929781010683,0.027582311357957665,0.029241736289646922
0.7639437268410978,0.022667156751404346,0.02742551588450283,0.029150800690861678
0.7798592211502873,0.022341480118134402,0.02726608688133111,0.029058166035760644
0.7957747154594768,0.022012420891533824,0.027104066982709046,0.028963845373821524
0.8116902097686663,0.0216801664851766,0.026939495621811495,0.028867852077638152
0.8276057040778558,0.02134489749547429,0.02677241351724579,0.028770198529541914
0.8435211983870454,0.02100679551792388,0.026602862309759553,0.02867090166561049
0.8594366926962349,0.020666043121300753,0.026430883782287553,0.028569972403531596
0.8753521870054244,0.02032282359143562,0.02625652079560017,0.028467425902946472
0.891267681314614,0.01997732122861726,0.026079816166745866,0.02836327664025455
0.9071831756238035,0.019629720707521104,0.025900813792212755,0.028257547761666044
0.923098669932993,0.019280207264997778,0.025719556364273772,0.028150228679505757
0.9390141642421825,0.018928966548516217,0.025536092350577373,0.02804135938644986
0.954929658551372,0.018576183739601532,0.02535046316627237,0.02793094743980481
0.9708451528605617,0.01822204553128683,0.025162715770748967,0.027819007984929155
0.9867606471697512,0.01786673737236054,0.024972895931859737,0.027705556629648343
1.0026761414789407,0.01751044495239876,0.02478105031932429,0.027590609235749672
1.0185916357881302,0.017153354025992343,0.024587225795516813,0.02747418203609297
1.0345071300973196,0.01679564920195777,0.02439146968775445,0.027356290072113005
1.0504226244065094,0.016437516188843933,0.024193829728582823,0.027236953245263613
1.0663381187156988,0.0160791358437306,0.023994354103164507,0.027116184719905324
1.0822536130248885,0.015720694207249888,0.023793091285638085,0.026994002520111096
