gamma,1st_error_N_4,1st_error_N_6,1st_error_N_8
0.1464225476445437,0.131874562891717,0.132637311082914,0.132936272367531
0.14801409707546268,0.131842778414247,0.132622118772985,0.132927600370332
0.14960564650638164,0.13181065467561,0.132606763127445,0.132918834911897
0.15119719593730058,0.131778191815984,0.132591244175472,0.132909976001579
0.15278874536821951,0.131745389977027,0.132575561946554,0.132901023648827
0.15438029479913848,0.131712249301882,0.132559716470489,0.132891977863194
0.15597184423005744,0.131678769935174,0.132543707777383,0.132882838654327
0.15756339366097638,0.131644952023009,0.132527535897657,0.132873606031979
0.15915494309189535,0.131610795712974,0.132511200862036,0.132864280005997
0.1607464925228143,0.131576301154138,0.13249470270156,0.132854860586331
0.16233804195373325,0.131541468497048,0.132478041447575,0.132845347783029
0.1639295913846522,0.131506297893732,0.13246121713174,0.132835741606239
0.16552114081557115,0.131470789497696,0.132444229786021,0.13282604206621
0.16711269024649011,0.131434943463927,0.132427079442696,0.132816249173289
0.16870423967740908,0.131398759948886,0.13240976613435,0.132806362937921
0.17029578910832802,0.131362239110514,0.13239228989388,0.132796383370655
0.17188733853924698,0.131325381108229,0.13237465075449,0.132786310482135
0.17347888797016595,0.131288186102923,0.132356848749697,0.132776144283107
0.17507043740108488,0.131250654256965,0.132338883913323,0.132765884784417
0.17666198683200385,0.131212785734201,0.132320756279502,0.132755531997007
0.1782535362629228,0.131174580699947,0.132302465882677,0.132745085931923
0.17984508569384175,0.131136039320997,0.1322840127576,0.132734546600308
0.18143663512476071,0.131097161765616,0.13226539693933,0.132723914013404
0.18302818455567965,0.131057948203543,0.132246618463239,0.132713188182554
0.1846197339865986,0.131018398805989,0.132227677365003,0.1327023691192
0.18621128341751753,0.130978513745636,0.132208573680612,0.132691456834882
0.1878028328484365,0.130938293196636,0.13218930744636,0.132680451341241
0.18939438227935546,0.130897737334614,0.132169878698853,0.132669352650016
0.1909859317102744,0.130856846336662,0.132150287475005,0.132658160773048
0.19257748114119336,0.130815620381343,0.132130533812037,0.132646875722274
0.19416903057211232,0.130774059648686,0.13211061774748,0.132635497509733
0.19576058000303126,0.130732164320191,0.132090539319172,0.132624026147562
0.19735212943395022,0.130689934578823,0.132070298565262,0.132612461647997
0.1989436788648692,0.130647370609013,0.132049895524204,0.132600804023374
0.20053522829578813,0.13060447259666,0.132029330234762,0.132589053286129
