J,X1_infid_CD,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
1.471012658227847858e+01,2.003663653237063302e-01,3.280954154452841998e-03,6.050108232074080661e-04,1.847034196608143830e-04
1.496202531645569245e+01,2.096638050933712361e-01,3.444790589390622770e-03,6.364815716584093508e-04,1.943851070105306889e-04
1.521392405063290632e+01,2.191846947734863438e-01,3.614658539964898942e-03,6.691987439811919458e-04,2.044558001873530984e-04
1.546582278481012374e+01,2.289238205010997174e-01,3.790700715701533774e-03,7.031970450146474150e-04,2.149266822341067140e-04
1.571772151898734116e+01,2.388753750130941933e-01,3.973060423943075570e-03,7.385116393866519857e-04,2.258091117148808280e-04
1.596962025316455680e+01,2.490329608094619118e-01,4.161881488772278814e-03,7.751781581832872803e-04,2.371146137178925528e-04
1.622151898734177067e+01,2.593895928971977627e-01,4.357308136038517965e-03,8.132326812138046535e-04,2.488548897560116657e-04
1.647341772151898454e+01,2.699377014773031158e-01,4.559484907890931638e-03,8.527117484954382931e-04,2.610418021600224847e-04
1.672531645569620196e+01,2.806691408411329247e-01,4.768556586570271705e-03,8.936523298175291785e-04,2.736873942346118582e-04
1.697721518987341582e+01,2.915751968010552586e-01,4.984668080593168682e-03,9.360918411438490239e-04,2.868038732160016480e-04
1.722911392405062969e+01,3.026465979245974713e-01,5.207964318602043008e-03,9.800681153888657349e-04,3.004036006959420746e-04
1.748101265822784356e+01,3.138735280070215072e-01,5.438590194913439646e-03,1.025619421267220943e-03,3.144991191185164681e-04
1.773291139240506098e+01,3.252456441320374925e-01,5.676690427391384297e-03,1.072784424162365191e-03,3.291031260141963344e-04
1.798481012658227840e+01,3.367520886838923921e-01,5.922409510566550850e-03,1.121602214858130608e-03,3.442284983083965244e-04
1.823670886075949227e+01,3.483815119053933484e-01,6.175891542680056467e-03,1.172112268738367824e-03,3.598882550569504346e-04
1.848860759493670614e+01,3.601220932666235885e-01,6.437280205388917764e-03,1.224354456003551306e-03,3.760955886147332450e-04
1.874050632911392356e+01,3.719615639191853340e-01,6.706718600683503340e-03,1.278369032513326786e-03,3.928638498316150418e-04
1.899240506329113742e+01,3.838872317144156332e-01,6.984349178238646871e-03,1.334196635082718352e-03,4.102065522036957290e-04
1.924430379746835129e+01,3.958860096696004138e-01,7.270313634686331739e-03,1.391878238118815503e-03,4.281373588522763285e-04
1.949620253164556871e+01,4.079444426819054392e-01,7.564752778773664588e-03,1.451455231486376007e-03,4.466700982117544072e-04
1.974810126582278258e+01,4.200487402033090678e-01,7.867806474157745811e-03,1.512969292875254723e-03,4.658187510863109893e-04
2.000000000000000000e+01,4.321848077775329866e-01,8.179613503826010934e-03,1.576462466311268074e-03,4.855974551141173379e-04
