J,idle_infid_CD,idle_infid_DD
8.412658227848099912e+00,1.377163488698940341e-02,4.834916334619521194e-04
8.664556962025313780e+00,1.540536768428779624e-02,5.161266168872691296e-04
8.916455696202529424e+00,1.717445832058361876e-02,5.501200244248938276e-04
9.168354430379745068e+00,1.908503028931141099e-02,5.855357224866519772e-04
9.420253164556960712e+00,2.114316765277179933e-02,6.223975250158053640e-04
9.672151898734174580e+00,2.335489692888736979e-02,6.607398322635571475e-04
9.924050632911390224e+00,2.572616866809196434e-02,7.006032696214026245e-04
1.017594936708860587e+01,2.826283874145940622e-02,7.420497890346933190e-04
1.042784810126581974e+01,3.097064934269067038e-02,7.851148466538893089e-04
1.067974683544303538e+01,3.385520983106393711e-02,8.298457339442899539e-04
1.093164556962025102e+01,3.692197739223357367e-02,8.763017044653986787e-04
1.118354430379746667e+01,4.017623761271860161e-02,9.245055296606130568e-04
1.143544303797468231e+01,4.362308498883327168e-02,9.745639729086263969e-04
1.168734177215189618e+01,4.726740346022995087e-02,1.026483687861512450e-03
1.193924050632911182e+01,5.111384698982102126e-02,1.080336716365315475e-03
1.219113924050632569e+01,5.516682025479402451e-02,1.136170802532254775e-03
1.244303797468354134e+01,5.943045961021053980e-02,1.194092027329674011e-03
1.269493670886075698e+01,6.390861415357096398e-02,1.254109972048667032e-03
1.294683544303797440e+01,6.860482731433070747e-02,1.316314718106226245e-03
1.319873417721518827e+01,7.352231860679481201e-02,1.380763237286641854e-03
1.345063291139240214e+01,7.866396603329417481e-02,1.447532618334079757e-03
1.370253164556961778e+01,8.403228891760561314e-02,1.516689229764667246e-03
1.395443037974683165e+01,8.962943137440393393e-02,1.588298420371669906e-03
1.420632911392404552e+01,9.545714638798552532e-02,1.662471455812331023e-03
1.445822784810126294e+01,1.015167807740828820e-01,1.739253658978534567e-03
1.471012658227847858e+01,1.078092607928802238e-01,1.818727433126610116e-03
1.496202531645569245e+01,1.143350787629575649e-01,1.900991859721701260e-03
1.521392405063290632e+01,1.210942805523729238e-01,1.986139785294049886e-03
1.546582278481012374e+01,1.280864541755079022e-01,2.074233676107484214e-03
1.571772151898734116e+01,1.353107194024076865e-01,2.165361235998197742e-03
1.596962025316455680e+01,1.427657185558279807e-01,2.259664239696923538e-03
1.622151898734177067e+01,1.504496085172014608e-01,2.357199437494350569e-03
1.647341772151898454e+01,1.583600540752641006e-01,2.458064168381568493e-03
1.672531645569620196e+01,1.664942224119598801e-01,2.562375172414532720e-03
1.697721518987341582e+01,1.748487792293094145e-01,2.670246211259885705e-03
1.722911392405062969e+01,1.834198861375009315e-01,2.781759403318373458e-03
1.748101265822784356e+01,1.922031995004400695e-01,2.897041263128175004e-03
1.773291139240506098e+01,2.011938710189389301e-01,3.016210598972057788e-03
1.798481012658227840e+01,2.103865495681476183e-01,3.139392979556676622e-03
1.823670886075949227e+01,2.197753848307143487e-01,3.266695892740423268e-03
1.848860759493670614e+01,2.293540324780526385e-01,3.398239388115342763e-03
1.874050632911392356e+01,2.391156609117974785e-01,3.534151762191628521e-03
1.899240506329113742e+01,2.490529598035903236e-01,3.674577991263583421e-03
1.924430379746835129e+01,2.591581501208414240e-01,3.819651429009418564e-03
1.949620253164556871e+01,2.694229960970171422e-01,3.969492854977829666e-03
1.974810126582278258e+01,2.798388182593108953e-01,4.124275759085582749e-03
2.000000000000000000e+01,2.903965087690703051e-01,4.284121092143378107e-03
