gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
4.535915878119017641e+00,2.658742815142525924e-03,1.936716251554801080e-03,1.741360857351447063e-04
4.551831372428207345e+00,2.577315913855631520e-03,2.000146200801669084e-03,1.923033235511065935e-04
4.567746866737397049e+00,2.495578940305008802e-03,2.063576176693720544e-03,2.092243045126807922e-04
4.583662361046585865e+00,2.413609324386216826e-03,2.126973896886254819e-03,2.249074037445350038e-04
4.599577855355775569e+00,2.331484228248172520e-03,2.190307353250271327e-03,2.393611670505894809e-04
4.615493349664965272e+00,2.249280483100231896e-03,2.253544818281482624e-03,2.525942888358665480e-04
4.631408843974154976e+00,2.167074511246745629e-03,2.316654849980935051e-03,2.646156422955268776e-04
4.647324338283344680e+00,2.084942253924114159e-03,2.379606288735110296e-03,2.754343027402221251e-04
4.663239832592533496e+00,2.002959113242525936e-03,2.442368306862649757e-03,2.850595349578374099e-04
4.679155326901723200e+00,1.921199873657644013e-03,2.504910366788424235e-03,2.935007026451336241e-04
4.695070821210912904e+00,1.839738638499589405e-03,2.567202305703921578e-03,3.007673737775160613e-04
4.710986315520102607e+00,1.758648776602976180e-03,2.629214158506767984e-03,3.068693439821389753e-04
4.726901809829292311e+00,1.678002800779033630e-03,2.690916504572462165e-03,3.118164656043717056e-04
4.742817304138481127e+00,1.597872408075467479e-03,2.752280140401503102e-03,3.156188169195936434e-04
4.758732798447670831e+00,1.518328313314488281e-03,2.813276259675820314e-03,3.182866174753697531e-04
4.774648292756860535e+00,1.439440249230512477e-03,2.873876444696371775e-03,3.198302535356012648e-04
4.790563787066050239e+00,1.361276874281615226e-03,2.934052577005222609e-03,3.202602609315202058e-04
4.806479281375239943e+00,1.283905736664991927e-03,2.993777045071301275e-03,3.195872879176373514e-04
4.822394775684428758e+00,1.207393204152315894e-03,3.053022559083473381e-03,3.178222053332727852e-04
4.838310269993618462e+00,1.131804410344961495e-03,3.111762251945965514e-03,3.149759622764978497e-04
4.854225764302808166e+00,1.057203200538420554e-03,3.169969650155384736e-03,3.110596835006370882e-04
4.870141258611997870e+00,9.836520681784949750e-04,3.227618735402019035e-03,3.060855349808976836e-04
4.886056752921187574e+00,9.112121594204512353e-04,3.284683858927098330e-03,3.000621432396878801e-04
4.901972247230376389e+00,8.399431082056512581e-04,3.341139867281447962e-03,2.930038956991499002e-04
4.917887741539566093e+00,7.699031043550960208e-04,3.396962013420621283e-03,2.849214392041149631e-04
4.933803235848755797e+00,7.011550170880011170e-04,3.452126001019695852e-03,2.758265501159055857e-04
4.949718730157945501e+00,6.337352194767903284e-04,3.506607986670112927e-03,2.657311909457465808e-04
4.965634224467135205e+00,5.677158319139932003e-04,3.560384597807046692e-03,2.546444888652108960e-04
4.981549718776324021e+00,5.031358299363965572e-04,3.613432925506444675e-03,2.425873537884195132e-04
4.997465213085513724e+00,4.400649430783539016e-04,3.665730511871727586e-03,2.295632910226451753e-04
5.013380707394703428e+00,3.785318228051592231e-04,3.717257912096127211e-03,2.155876498164558742e-04
5.029296201703893132e+00,3.185855512190253667e-04,3.767986157775357094e-03,2.006728981633525762e-04
5.045211696013082836e+00,2.602828735801749130e-04,3.817901737778251533e-03,1.848317314850178410e-04
5.061127190322271652e+00,2.036546412822166723e-04,3.866981666267449436e-03,1.680768072380065502e-04
5.077042684631461356e+00,1.487458608947314653e-04,3.915205942857992796e-03,1.504209863811433899e-04
5.092958178940651059e+00,9.559563139027817721e-05,3.962555131816260581e-03,1.318772053502756272e-04
5.108873673249840763e+00,4.424111267892548796e-05,4.009010194863604770e-03,1.124584525221893571e-04
5.124789167559030467e+00,5.282483896014223227e-06,4.054552679136048943e-03,9.217792544728501661e-05
5.140704661868220171e+00,5.294192463394753966e-05,4.099164682058904774e-03,7.104882963949171054e-05
5.156620156177408987e+00,9.870598326388292328e-05,4.142828677145563888e-03,4.908445382235167314e-05
5.172535650486598691e+00,1.425454344421346901e-04,4.185527863024721650e-03,2.629819239618058911e-05
5.188451144795788395e+00,1.844318878116900330e-04,4.227245827914153167e-03,2.703515244723034799e-06
5.204366639104978098e+00,2.243403611982674594e-04,4.267966732221160214e-03,2.168597530431653936e-05
5.220282133414167802e+00,2.622545540923672171e-04,4.307675289025969349e-03,4.685667549333732469e-05
5.236197627723356618e+00,2.981485052722268147e-04,4.346356727950597375e-03,7.279484622296640941e-05
5.252113122032546322e+00,3.319890783312492381e-04,4.383996817186274625e-03,9.948674522771387826e-05
