gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
7.798592211502872740e-01,2.234148011813440193e-02,2.726608688133111066e-02,2.905816603576064430e-02
7.957747154594767558e-01,2.201242089153382375e-02,2.710406698270904566e-02,2.896384537382152430e-02
8.116902097686663486e-01,2.168016648517660100e-02,2.693949562181149546e-02,2.886785207763815225e-02
8.276057040778558305e-01,2.134489749547429163e-02,2.677241351724578972e-02,2.877019852954191409e-02
8.435211983870454233e-01,2.100679551792387911e-02,2.660286230975955277e-02,2.867090166561048897e-02
8.594366926962349051e-01,2.066604312130075269e-02,2.643088378228755295e-02,2.856997240353159606e-02
8.753521870054243870e-01,2.032282359143561951e-02,2.625652079560017102e-02,2.846742590294647213e-02
8.912676813146139798e-01,1.997732122861725981e-02,2.607981616674586584e-02,2.836327664025455053e-02
9.071831756238034616e-01,1.962972070752110401e-02,2.590081379221275543e-02,2.825754776166604365e-02
9.230986699329930545e-01,1.928020726499777779e-02,2.571955636427377193e-02,2.815022867950575658e-02
9.390141642421825363e-01,1.892896654851621702e-02,2.553609235057737251e-02,2.804135938644986004e-02
9.549296585513720181e-01,1.857618373960153238e-02,2.535046316627237104e-02,2.793094743980481173e-02
9.708451528605617220e-01,1.822204553128682972e-02,2.516271577074896681e-02,2.781900798492915536e-02
9.867606471697512038e-01,1.786673737236053883e-02,2.497289593185973711e-02,2.770555662964834312e-02
1.002676141478940686e+00,1.751044495239876056e-02,2.478105031932429161e-02,2.759060923574967183e-02
1.018591635788130167e+00,1.715335402599234282e-02,2.458722579551681289e-02,2.747418203609296866e-02
1.034507130097319649e+00,1.679564920195776925e-02,2.439146968775444957e-02,2.735629007211300492e-02
1.050422624406509353e+00,1.643751618884393279e-02,2.419382972858282257e-02,2.723695324526361275e-02
1.066338118715698835e+00,1.607913584373060062e-02,2.399435410316450717e-02,2.711618471990532436e-02
1.082253613024888539e+00,1.572069420724988772e-02,2.379309128563808495e-02,2.699400252011109613e-02
1.098169107334078021e+00,1.536237263997501656e-02,2.359009003673261801e-02,2.687042367855037306e-02
1.114084601643267503e+00,1.500435220573162996e-02,2.338539964893790804e-02,2.674546547993562895e-02
1.130000095952456984e+00,1.464681311616385269e-02,2.317906950197779967e-02,2.661914490096920979e-02
1.145915590261646466e+00,1.428993397674901446e-02,2.297114946152565076e-02,2.649148000922722096e-02
1.161831084570836170e+00,1.393389254202271124e-02,2.276168970780205469e-02,2.636248810284242891e-02
1.177746578880025652e+00,1.357886468106004468e-02,2.255074055986903622e-02,2.623218722887595694e-02
1.193662073189215134e+00,1.322502487935794252e-02,2.233835270671015449e-02,2.610059541807335445e-02
1.209577567498404616e+00,1.287254552865773824e-02,2.212457696327038703e-02,2.596773095971750475e-02
1.225493061807594097e+00,1.252159842380179064e-02,2.190946466994708741e-02,2.583361222281132033e-02
1.241408556116783801e+00,1.217235176186177645e-02,2.169306694218622183e-02,2.569825781232972298e-02
1.257324050425973283e+00,1.182497275384838779e-02,2.147543544658192180e-02,2.556168597474561127e-02
1.273239544735162765e+00,1.147962615579544571e-02,2.125662183895472845e-02,2.542391601176595059e-02
1.289155039044352247e+00,1.113647462148476680e-02,2.103667825766180471e-02,2.528496717875407598e-02
1.305070533353541951e+00,1.079567844194831081e-02,2.081565649393502318e-02,2.514485705605169763e-02
1.320986027662731432e+00,1.045739538189311216e-02,2.059360881275775282e-02,2.500360645035580934e-02
1.336901521971920914e+00,1.012178080451187935e-02,2.037058784777685816e-02,2.486123424283782912e-02
1.352817016281110396e+00,9.788987323044140779e-03,2.014664543036710082e-02,2.471775999492645953e-02
1.368732510590299878e+00,9.459164831745435487e-03,1.992183429794382177e-02,2.457320335343919984e-02
1.384648004899489582e+00,9.132460552112808827e-03,1.969621174513333517e-02,2.442758261532636255e-02
1.400563499208679064e+00,8.809018622298452408e-03,1.946981766366652836e-02,2.428092233706481001e-02
1.416478993517868545e+00,8.488980301235196646e-03,1.924271691267975121e-02,2.413323733515217520e-02
1.432394487827058027e+00,8.172483728932856267e-03,1.901495846241874413e-02,2.398454986291078880e-02
1.448309982136247509e+00,7.859663924042199767e-03,1.878659489036004979e-02,2.383488009066543969e-02
1.464225476445437213e+00,7.550652691826642560e-03,1.855767893925470632e-02,2.368424836627424507e-02
1.480140970754626695e+00,7.245578374741634339e-03,1.832826343899303378e-02,2.353267504193161386e-02
1.496056465063816177e+00,6.944566121410115575e-03,1.809840101221373357e-02,2.338018077846894943e-02
1.511971959373005658e+00,6.647737550067494075e-03,1.786814441799729897e-02,2.322678609124801535e-02
