t,idle_infid_CD
4.869346733668342608e+01,2.416256341205491598e-02
4.919597989949748751e+01,2.456471651459324335e-02
4.969849246231156314e+01,2.477566867708136389e-02
5.020100502512563168e+01,2.479488477355573650e-02
5.070351758793970021e+01,2.462666995151752136e-02
5.120603015075377584e+01,2.428006547727856734e-02
5.170854271356784437e+01,2.376863094840897528e-02
5.221105527638191290e+01,2.311011720519073886e-02
5.271356783919598854e+01,2.232603640786900989e-02
5.321608040201005707e+01,2.144113803806246832e-02
5.371859296482412560e+01,2.048280190632212339e-02
5.422110552763819413e+01,1.948036131028152429e-02
5.472361809045226266e+01,1.846437178266735479e-02
5.522613065326633830e+01,1.746584251433702661e-02
5.572864321608040683e+01,1.651544936905779970e-02
5.623115577889447536e+01,1.564274942933929768e-02
5.673366834170855100e+01,1.487541772271983032e-02
5.723618090452261953e+01,1.423852691171734186e-02
5.773869346733668806e+01,1.375389005621752148e-02
5.824120603015075659e+01,1.343948533769956377e-02
5.874371859296482512e+01,1.330897959297894229e-02
5.924623115577890076e+01,1.337136489133183836e-02
5.974874371859296929e+01,1.363071913741431551e-02
6.025125628140703782e+01,1.408609801309934628e-02
6.075376884422111345e+01,1.473156156038490927e-02
6.125628140703518199e+01,1.555633457080318749e-02
6.175879396984925052e+01,1.654509584049856930e-02
6.226130653266331905e+01,1.767838744633165593e-02
6.276381909547738758e+01,1.893313168713040007e-02
6.326633165829146321e+01,2.028324030231520858e-02
6.376884422110553174e+01,2.170029820297791900e-02
6.427135678391960028e+01,2.315430222244807545e-02
6.477386934673367591e+01,2.461443438571142561e-02
6.527638190954773734e+01,2.604984890506401030e-02
6.577889447236181297e+01,2.743045240321673184e-02
6.628140703517588861e+01,2.872765783925645966e-02
6.678391959798995003e+01,2.991509390351687614e-02
6.728643216080402567e+01,3.096925347166457065e-02
6.778894472361810131e+01,3.187006667249614456e-02
6.829145728643216273e+01,3.260138628736408695e-02
6.879396984924623837e+01,3.315137551994062903e-02
6.929648241206029979e+01,3.351279031077925019e-02
6.979899497487437543e+01,3.368315085129347519e-02
7.030150753768845107e+01,3.366479895110097154e-02
7.080402010050251249e+01,3.346484029968954665e-02
7.130653266331658813e+01,3.309497277980888441e-02
7.180904522613064955e+01,3.257120414180447732e-02
7.231155778894472519e+01,3.191346476308998259e-02
7.281407035175880083e+01,3.114512307185024476e-02
7.331658291457286225e+01,3.029241395564419292e-02
7.381909547738693789e+01,2.938379222317100137e-02
7.432160804020101352e+01,2.844922564019025657e-02
7.482412060301507495e+01,2.751944386414106880e-02
7.532663316582915058e+01,2.662516138463311144e-02
7.582914572864322622e+01,2.579629390841797765e-02
7.633165829145728765e+01,2.506118850793614961e-02
7.683417085427136328e+01,2.444588820022519648e-02
7.733668341708542471e+01,2.397345129235295413e-02
7.783919597989950034e+01,2.366334484138776784e-02
7.834170854271357598e+01,2.353092987827376525e-02
7.884422110552763741e+01,2.358705365089053263e-02
7.934673366834171304e+01,2.383776118543290412e-02
7.984924623115577447e+01,2.428413492344372315e-02
8.035175879396985010e+01,2.492226735600766574e-02
8.085427135678392574e+01,2.574336747024974503e-02
8.135678391959800138e+01,2.673399770845963364e-02
8.185929648241206280e+01,2.787643416054219614e-02
8.236180904522612423e+01,2.914913903035665221e-02
8.286432160804019986e+01,3.052733121401407512e-02
8.336683417085427550e+01,3.198363817302118939e-02
8.386934673366835113e+01,3.348881032659178913e-02
8.437185929648239835e+01,3.501247788311201425e-02
8.487437185929648820e+01,3.652392947976290660e-02
8.537688442211056383e+01,3.799289207023548443e-02
8.587939698492462526e+01,3.939029220412848531e-02
8.638190954773868668e+01,4.068898004721432926e-02
8.688442211055276232e+01,4.186439907599159849e-02
8.738693467336685217e+01,4.289518634419819954e-02
8.788944723618089938e+01,4.376369025305848481e-02
8.839195979899497502e+01,4.445639505747789322e-02
8.889447236180905065e+01,4.496424352528438639e-02
8.939698492462312629e+01,4.528285147978983183e-02
8.989949748743718771e+01,4.541261018041531372e-02
9.040201005025126335e+01,4.535867461547837820e-02
9.090452261306532478e+01,4.513083811079421359e-02
9.140703517587940041e+01,4.474329562060896937e-02
9.190954773869347605e+01,4.421430047863950108e-02
9.241206030150755169e+01,4.356572136220970837e-02
9.291457286432161311e+01,4.282250859658343067e-02
9.341708542713568875e+01,4.201208113968457614e-02
9.391959798994975017e+01,4.116364755451373814e-02
9.442211055276382581e+01,4.030747659764843949e-02
9.492462311557788723e+01,3.947413456222292893e-02
9.542713567839197708e+01,3.869370828495455328e-02
9.592964824120602430e+01,3.799503358433953260e-02
9.643216080402011414e+01,3.740494961592710776e-02
9.693467336683417557e+01,3.694759951787163210e-02
9.743718592964825120e+01,3.664379700894748737e-02
9.793969849246231263e+01,3.651047724353451152e-02
9.844221105527638827e+01,3.656024806093793877e-02
9.894472361809044969e+01,3.680105511950126917e-02
9.944723618090452533e+01,3.723597104884002196e-02
9.994974874371860096e+01,3.786311506771922186e-02
1.004522613065326766e+02,3.867570553968202596e-02
1.009547738693467380e+02,3.966224378747595924e-02
1.014572864321608137e+02,4.080682351733178059e-02
1.019597989949748751e+02,4.208955634848765559e-02
1.024623115577889507e+02,4.348710061020744089e-02
1.029648241206030121e+02,4.497327767329362125e-02
1.034673366834171020e+02,4.651975785424633525e-02
1.039698492462311492e+02,4.809679641232944558e-02
1.044723618090452391e+02,4.967399925673487981e-02
1.049748743718593005e+02,5.122109791456819217e-02
1.054773869346733761e+02,5.270871366300478034e-02
1.059798994974874375e+02,5.410909185098022878e-02
1.064824120603015132e+02,5.539678881444198844e-02
1.069849246231155746e+02,5.654929562787081032e-02
1.074874371859296502e+02,5.754758498108425435e-02
1.079899497487437259e+02,5.837656955164016725e-02
1.084924623115578015e+02,5.902546265016217486e-02
1.089949748743718629e+02,5.948803392814006052e-02
1.094974874371859386e+02,5.976275542631748205e-02
1.100000000000000000e+02,5.985283513443173664e-02
