J,X2_infid_CD,X2_infid_DD
7.656962025316453868e+00,1.915349098885658075e-01,8.060029625634279604e-02
7.908860759493668624e+00,2.039614068345345643e-01,8.572130168881175738e-02
8.160759493670884268e+00,2.167055607190154776e-01,9.097356854158444861e-02
8.412658227848099912e+00,2.297541201698722890e-01,9.635397914927479324e-02
8.664556962025313780e+00,2.430929372311443348e-01,1.018593522970527854e-01
8.916455696202529424e+00,2.567069905991518075e-01,1.074864772818275860e-01
9.168354430379745068e+00,2.705803994970553683e-01,1.132320569019538148e-01
9.420253164556960712e+00,2.846964536823224368e-01,1.190926911933731791e-01
9.672151898734174580e+00,2.990376650393595792e-01,1.250650195593763225e-01
9.924050632911390224e+00,3.135857889778622676e-01,1.311455283405463801e-01
1.017594936708860587e+01,3.283218832600222070e-01,1.373307474394842576e-01
1.042784810126581974e+01,3.432263684113688873e-01,1.436170918718409073e-01
1.067974683544303538e+01,3.582790753878036805e-01,1.500009702177683701e-01
1.093164556962025102e+01,3.734593199790394724e-01,1.564787761938305488e-01
1.118354430379746667e+01,3.887459704171862818e-01,1.630467921950194965e-01
1.143544303797468231e+01,4.041175222730488681e-01,1.697013590379462533e-01
1.168734177215189618e+01,4.195521808596929247e-01,1.764387192043885833e-01
1.193924050632911182e+01,4.350279355352596466e-01,1.832551406316167419e-01
1.219113924050632569e+01,4.505226473831458467e-01,1.901468713789512543e-01
1.244303797468354134e+01,4.660141430758972803e-01,1.971101023597952029e-01
1.269493670886075698e+01,4.814802934264509338e-01,2.041410583952987245e-01
1.294683544303797440e+01,4.968991034002995244e-01,2.112359352465188467e-01
1.319873417721518827e+01,5.122488020282578436e-01,2.183909258026265343e-01
1.345063291139240214e+01,5.275079336316723655e-01,2.256022499194247910e-01
1.370253164556961778e+01,5.426554381484476330e-01,2.328660990668282027e-01
1.395443037974683165e+01,5.576707373822932245e-01,2.401786851691437574e-01
1.420632911392404552e+01,5.725338187603842277e-01,2.475362406644751045e-01
1.445822784810126294e+01,5.872253096246461412e-01,2.549350057397936631e-01
1.471012658227847858e+01,6.017265603751296155e-01,2.623712666011277506e-01
1.496202531645569245e+01,6.160196972645791691e-01,2.698412789872668416e-01
1.521392405063290632e+01,6.300877062477209245e-01,2.773414006574264068e-01
1.546582278481012374e+01,6.439144787853718910e-01,2.848679698563063578e-01
1.571772151898734116e+01,6.574848750446982137e-01,2.924173720995190129e-01
1.596962025316455680e+01,6.707847620066997862e-01,2.999860377238862119e-01
1.622151898734177067e+01,6.838010640435735477e-01,3.075704545907484988e-01
1.647341772151898454e+01,6.965217885888272953e-01,3.151671417842232259e-01
1.672531645569620196e+01,7.089360600913263699e-01,3.227726629198610642e-01
1.697721518987341582e+01,7.210341364567944833e-01,3.303836558362059916e-01
1.722911392405062969e+01,7.328074240715134469e-01,3.379968017470807995e-01
1.748101265822784356e+01,7.442484894639691539e-01,3.456088340581234819e-01
1.773291139240506098e+01,7.553510479866532012e-01,3.532165898700240225e-01
1.798481012658227840e+01,7.661099706937297693e-01,3.608169169931507714e-01
1.823670886075949227e+01,7.765212594904559174e-01,3.684067743548111729e-01
1.848860759493670614e+01,7.865820375658096886e-01,3.759831701737998966e-01
1.874050632911392356e+01,7.962905178736995326e-01,3.835431833320921413e-01
1.899240506329113742e+01,8.056459752175070266e-01,3.910840122073622194e-01
1.924430379746835129e+01,8.146487117988212567e-01,3.986028812149102762e-01
1.949620253164556871e+01,8.233000150302531850e-01,4.060970991210886005e-01
1.974810126582278258e+01,8.316021149230803378e-01,4.135641055607703898e-01
2.000000000000000000e+01,8.395581345724560940e-01,4.210013508758468914e-01
